lr_missile_icon,10060200001100000000
lr_sam_acq_radar_icon,10061000001504000000
lr_sam_launcher_icon,10061000001301000000
lr_sam_ttr_radar_icon,10061000001504000000
luhu,10063000001202030000
luyang,10063000001202030000
luzhou,10063000001202030000
m1a1,10031000001205000000
m2a,10031000001205000000
mald,10030100001302000000
marker,00000000000000000000
maverick,10030200001100000102
mig,10060100001101040000
mig-21,10060100001101040000
mig-25,10060100001101040000
mig-29,10060100001101040000
mig29_iriaf,10060100001101040000
mig29_nk,10060100001101040000
mig29_rus,10060100001101040000
mirage,10060100001101040000
missile,10060200001100000000
mistral_missile,10060200001100000000
mk-82,10030200001100000102
mk82,10030200001100000102
mk82-hd,10030200001100000102
mk82-hd-ballute,10030200001100000102
mk82_hd,10030200001100000102
mk82_hd_ballute,10030200001100000102
mma,00000000000000000000
mq-1,10030100001103001800
mq-9,10030100001103001800
mr_missile_icon,10060200001100000000
mr_sam_launcher_icon,10061000001301000000
mr_sam_ttr_radar_icon,10061000001504000000
namp,00000000000000000000
nimitz,10033000001202020000
p3,10031000001301030000
pac-3_ecs,10031000001301030000
pac-3_launcher,10031000001301030000
pac-3_missile,10030200001100000007
pentagon,10031000000000000000
phased_ew,10031000001802000000
pickup_truck,10031100001100000000
pickup_truck_hmg,10031100001100000000
poi,00000000000000000000
predator,10030100001103001800
rafale,10030100001101040000
rafale_icon,10030100001101040000
raptor,10030100001101040000
reaper,10030100001103001800
rocket,00000000000000000000
roland,10061000001301000000
rosetta_satellite,10030500001106000000
rq-4,10030100001103001800
runway,10031000000000000000
sa-10_launcher,10061000001301000000
sa-10_missile,10060200001100000201
sa-11_launcher,10061000001301000000
sa-11_missile,10060200001100000201
sa-12_missile,10060200001100000201
sa-13_launcher,10061000001301000000
sa-13_missile,10060200001100000201
sa-15_launcher,10061000001301000000
sa-15_missile,10060200001100000201
sa-17_launcher,10061000001301000000
sa-17_missile,10060200001100000201
sa-18_missile,10060200001100000201
sa-19_launcher,10061000001301000000
sa-19_missile,10060200001100000201
sa-2_launcher,10061000001301000000
sa-2_missile,10060200001100000201
sa-3_launcher,10061000001301000000
sa-3_missile,10060200001100000201
sa-4_launcher,10061000001301000000
sa-4_missile,10060200001100000201
sa-6_launcher,10061000001301000000
sa-6_missile,10060200001100000201
sa-8_launcher,10061000001301000000
sa-8_missile,10060200001100000201
sa-n-3_missile,10060200001100000201
sa12a_launcher,10061000001301000000
sa12b_launcher,10061000001301000000
sa_template,10031000000000000000
sam-a,10060200001100000201
sam-a_missile,10060200001100000201
sam-b,10060200001100000201
sam-b_cdr,10061000001301000000
sam_battalion,10061000001301000000
sam_btry,10061000001301000000
sam_rgt,10061000001301000000
satellite,10030500001106000000
school_bus,10031100001100000000
scud_launcher,10061000001301000000
scud_missile,10060200001100000201
semi,10031100001100000000
sentry,10031000000000000000
ship,10033000000000000000
sovremennyy,00000000000000000000
space_shuttle,10030500001201000000
space_shuttle_atlantis,10030500001201000000
sr_missile_icon,10060200001100000000
sr_sam_telar_icon,10061000001504000000
stereo_satellite,10030500001106000000
straight_flush,10061000001505000000
strike-eagle,10030100001101040000
su-27,10060100001101040000
su-30,10060100001101040000
su-35,10060100001101040000
su27,10060100001101040000
su27_dk,10060100001101040000
su27_lt,10060100001101040000
su27_wht,10060100001101040000
submarine,10033500001101000000
sukhoi,10060100001101040000
t-72,10061000001205000000
tank,10061000001205000000
tanker,10030100001101090000
target,00000000000000000000
tbm_launcher,10061000001301000000
tbm_launcher_icon,10061000001301000000
tbm_missile_icon,10060200001100000000
tnk-f15c-600g,00000000000000000000
tnk-f15e-600g,00000000000000000000
tnk-f16-370g,00000000000000000000
tomb_stone_radar,10061000001505000000
tower,00000000000000000000
trawler,10033000000000000000
truck_radar,10061000001505000000
tu-16,10060100001101030000
tu-95,10060100001101030000
tu16,10060100001101030000
tu95,10060100001101030000
twin_box,10061000001505000000
typhoon,10031000001301000000
u-2,10030100001101110000
ucav,10030100001103000000
ucav_navy,10030100001103000000
unknown,00000000000000000000
uta_jam,00000000000000000000
uta_strike,00000000000000000000
v22,10030100001102000000
viper,10030100001102000100
waypoint,00000000000000000000
waypoint_left,00000000000000000000
waypoint_offset,00000000000000000000
waypoint_right,00000000000000000000
waypoint_turn,00000000000000000000
weasel,10031000001205020000
wedge,00000000000000000000
wgs-sat,10030500001106000000
x-45c,10030100001103000000
x_marker,00000000000000000000
zell-booster,00000000000000000000
zsu-23-4,10061000001301000000
zu-23,10061000001301000000
zuni,00000000000000000000
