KCHS,32.89860153,-80.04049683
KBHM,33.56290054,-86.75350189
MROC,9.993860245,-84.20880127
KRIC,37.50519943,-77.31970215
SPIM,-12.0219,-77.114304
EVRA,56.92359924,23.97109985
RJTT,35.552299,139.779999
LDDU,42.56140137,18.26819992
CYXU,43.035599,-81.1539
EGLC,51.505299,0.055278
KROC,43.1189003,-77.67240143
KSAV,32.12760162,-81.20210266
HKJK,-1.319239974,36.92779922
CYQB,46.7911,-71.393303
KDAY,39.90240097,-84.2193985
KGEG,47.61989975,-117.5339966
LDZA,45.74290085,16.06879997
KBOI,43.56439972,-116.2229996
KMHT,42.93259811,-71.43569946
KRSW,26.53619957,-81.75520325
KPWM,43.64619827,-70.30930328
LGIR,35.33969879,25.18029976
KSBA,34.42620087,-119.8399963
KICT,37.64989853,-97.43309784
LYBE,44.81840134,20.3090992
CYYJ,48.64690018,-123.4260025
LCLK,34.87509918,33.62490082
GCTS,28.04450035,-16.57250023
KBFI,47.52999878,-122.302002
EBCI,50.459202,4.45382
VVTS,10.81879997,106.6520004
KPSP,33.82970047,-116.5070038
YPPH,-31.94029999,115.9670029
KMSN,43.13990021,-89.33750153
KGRR,42.88079834,-85.52279663
WIII,-6.12556982,106.6559982
LEAL,38.28219986,-0.558156013
LROP,44.5711111,26.085
KDSM,41.5340004,-93.6631012
NZCH,-43.48939896,172.5319977
KCOS,38.80580139,-104.7009964
ESGG,57.66279984,12.27980042
EPKK,50.07770157,19.78479958
KBTV,44.47190094,-73.15329742
VTSP,8.1132,98.316902
MPTO,9.071359634,-79.38349915
RJBB,34.4272995,135.2440033
UUDD,55.40879822,37.90629959
LFML,43.43927192,5.221424103
KVGT,36.21070099,-115.1940002
KLIT,34.72940063,-92.22429657
KGSO,36.09780121,-79.93730164
KTUL,36.19839859,-95.88809967
MKJS,18.50370026,-77.91339874
KMRY,36.5870018,-121.8430023
PHKO,19.73880005,-156.0460052
EDFH,49.9487,7.26389
LEGE,41.90100098,2.760550022
LPFR,37.01440048,-7.965909958
CYHM,43.17359924,-79.93499756
CYGK,44.22529984,-76.59690094
MYNN,25.03899956,-77.46620178
LOWS,47.79330063,13.00430012
KSMO,34.01580048,-118.4509964
EINN,52.70199966,-8.924819946
LIPE,44.5354,11.2887
LJLJ,46.223701,14.4576
KPNS,30.47340012,-87.18659973
KTEB,40.85010147,-74.06079865
ENZV,58.87670135,5.63778019
ULLI,59.8003006,30.26250076
MMPR,20.68009949,-105.2539978
KVNY,34.20980072,-118.4899979
LFBO,43.629101,1.36382
LIRN,40.886002,14.2908
CYKF,43.46080017,-80.37860107
KRAP,44.04529953,-103.0569992
CYQR,50.43190002,-104.6660004
YBCS,-16.88579941,145.7550049
GMMX,31.60689926,-8.036299706
LFLL,45.7255556,5.0811111
MDPC,18.56739998,-68.36340332
CYKZ,43.86220169,-79.37000275
KTYS,35.81100082,-83.9940033
KTLH,30.39649963,-84.35030365
KFAT,36.77619934,-119.7180023
LDSP,43.53889847,16.29800034
CYLW,49.95610046,-119.3779984
KSRQ,27.39539909,-82.55439758
CYMX,45.67950058,-74.03869629
CYXE,52.17079926,-106.6999969
CYQA,44.97470093,-79.30329895
EETN,59.41329956,24.83279991
LFSB,47.59,7.5291667
LEZL,37.41799927,-5.893109798
LEVC,39.4893,-0.481625
ENTO,59.18669891,10.25860024
KEYW,24.55610085,-81.75959778
KNEW,30.04240036,-90.02829742
ZSSS,31.19790077,121.3359985
SKBO,4.70159,-74.1469
KBGR,44.80739975,-68.82810211
KGSP,34.89569855,-82.21890259
KLEX,38.03649902,-84.60590363
ENVA,63.4578018,10.9239998
LICC,37.466801,15.0664
KSAF,35.61709976,-106.0889969
EHEH,51.45009995,5.374529839
LIRP,43.683899,10.3927
LPPR,41.24810028,-8.681389809
KBLI,48.7928009,-122.538002
KDAB,29.179899,-81.058098
KMYF,32.81570053,-117.1399994
KLBB,33.663601,-101.822998
CYQT,48.37189865,-89.32389832
KAPA,39.57009888,-104.848999
GMMN,33.36750031,-7.589970112
MUHA,22.98920059,-82.40910339
VVNB,21.22120094,105.8069992
OTBD,25.26110077,51.56510162
KPIE,27.91020012,-82.68740082
KPDK,33.87559891,-84.30200195
CYPQ,44.22999954,-78.36329651
KCMA,34.21369934,-119.0940018
EGGD,51.382702,-2.71909
EGNT,55.03749847,-1.691669941
LGTS,40.5196991,22.97089958
CYOO,43.922798,-78.894997
EDDV,52.46110153,9.685079575
KAMA,35.219398,-101.706001
VCBI,7.180759907,79.88410187
EGGP,53.33359909,-2.849720001
KFXE,26.19729996,-80.17070007
KISM,28.28980064,-81.43710327
KAPC,38.2132,-122.280998
KSEZ,34.84859848,-111.788002
KCHA,35.03530121,-85.20379639
LTFJ,40.89860153,29.30920029
OOMS,23.59329987,58.28440094
EDDN,49.498699,11.078056
KCHO,38.1385994,-78.45290375
KMDT,40.19350052,-76.76339722
ESKN,58.78860092,16.91220093
KCCR,37.98970032,-122.0569992
KLVK,37.69340134,-121.8199997
KCAE,33.93880081,-81.11949921
EGPK,55.50939941,-4.586669922
OBBI,26.27079964,50.63359833
EYVI,54.634102,25.285801
EHRD,51.956902,4.43722
PHLI,21.97599983,-159.3390045
KCRQ,33.12829971,-117.2799988
KSDL,33.6228981,-111.9110031
QA-0001,25.273056,51.608056
KBIL,45.80770111,-108.5429993
CYHU,45.51750183,-73.41690063
CNF4,44.3647,-78.783897
KHSV,34.6371994,-86.77510071
